Event/Description,EstMH (All),Interval,MH_j,max_interval
"HE32-381000-01-1 (R0002) / DISINFECTION OF POTABLE WATER SYSTEM AND DISCARD THE WATER FILTER ELEMENTS, IF INSTALLED",0 days 07:08:00,91 D,7.133333333333334,200
REPLACE 416526/202304785/W1589408 (BATTERY),0 days 02:06:00,,2.1,200
HE32-242100-17-1-01 (R0003) / TORQUE CHECK OF QAD TENSION BOLT OF NO.1 IDG,0 days 01:32:00,1'200,1.5333333333333332,200
HE32-25-SCME-070 (R0002) / INSPECTION OF LOOSE FLOTATION EQUIPMENT,0 days 00:20:00,120 D,0.3333333333333333,200
"HE32-242000-23-1-01 (R0005) / DISCARD NO.1 IDG SCAVENGE AND CHARGE FILTERS, DRAIN AND REPLENISH OIL SYSTEM",0 days 03:15:00,800,3.25,800
"HE32-242000-23-1-02 (R0005) / DISCARD NO.2 IDG SCAVENGE AND CHARGE FILTERS, DRAIN AND REPLENISH OIL SYSTEM",0 days 03:15:00,800,3.25,800
HE32-323000-01-1 (R0002) / VISUAL CHECK OF NLG AND MLG DOWNLOCK SPRINGS AND ATTACHMENTS,0 days 00:24:00,1'000,0.4,200
HE32-323000-19-1 (R0003) / GENERAL VISUAL INSPECTION OF L/G EXTENSION/RETRACTION SYSTEM COMPONENTS,0 days 01:00:00,1'000,1.0,200
EO-PW-72-0193/TUBE ASSEMBLY; OIL; NO. 4 BEARING(LR111); SCAVENGE - EXAMINE THE NO. 4,0 days 02:10:00,1'000,2.1666666666666665,200
"HE32-242000-23-1-01 (R0005) / DISCARD NO.1 IDG SCAVENGE AND CHARGE FILTERS, DRAIN AND REPLENISH OIL SYSTEM",0 days 03:15:00,800,3.25,800
"HE32-242000-23-1-02 (R0005) / DISCARD NO.2 IDG SCAVENGE AND CHARGE FILTERS, DRAIN AND REPLENISH OIL SYSTEM",0 days 03:15:00,800,3.25,800
HE32-323000-01-1 (R0002) / VISUAL CHECK OF NLG AND MLG DOWNLOCK SPRINGS AND ATTACHMENTS,0 days 00:24:00,1'000,0.4,200
HE32-323000-19-1 (R0003) / GENERAL VISUAL INSPECTION OF L/G EXTENSION/RETRACTION SYSTEM COMPONENTS,0 days 01:00:00,1'000,1.0,200
REPLACE 3214-31/944590 (EPSU BATTERY),0 days 01:30:00,,1.5,200
HE32-212300-02-1 (R0004) / DISCARD LAVATORY AIR EXTRACTION FILTER ELEMENT,0 days 00:30:00,1'000,0.5,200
HE32-242000-01-1 (R0003) / OPERATIONAL CHECK OF THE GAPCU VIA THE CFDS,0 days 00:18:00,1'000,0.3,200
HE32-242800-01-2 (R0003) / OPERATIONAL TEST OF THE STATIC INVERTER,0 days 00:32:00,1'000,0.5333333333333333,200
HE32-243800-01-1 (R0003) / OPERATIONAL CHECK OF THE BATTERY CHARGE LIMITER (BCL) NO.1 AND NO.2 VIA CENTRALIZED FAULT DIS,0 days 00:50:00,1'000,0.8333333333333334,200
HE32-261200-01-1 (R0003) / OPERATIONAL CHECK OF LOOP/SQUIB,0 days 00:24:00,1'000,0.4,200
